,filename,cgpa,sgpa
59,/content/btech/found/21010301003_1800265498.html,6.44,5.96
60,/content/btech/found/21010205001_1800265903.html,5.62,6.52
61,/content/btech/found/23011201014_1800265991.html,2.83,2.83
62,/content/btech/found/22021005016_1800265773.html,5.17,4.54
63,/content/btech/found/20011501001_1800265499.html,6.57,3.73
64,/content/btech/found/22010101023_1800265467.html,3.83,3.83
65,/content/btech/found/21010903013_1800265760.html,7.79,7.79
66,/content/btech/found/22011103009_1800266009.html,4.85135135135135,3.11538461538462
67,/content/btech/found/21011003014_1800265362.html,5.50,5.50
68,/content/btech/found/22010205005_1800265771.html,1.1,1.17
69,/content/btech/found/21010603015_1800265758.html,6.13,5.54
70,/content/btech/found/20010505015_1800265904.html,5.56,5.15
71,/content/btech/found/22011403028_1800265758.html,6.06,6.21
72,/content/btech/found/22011403029_1800265757.html,6.75,6.75
73,/content/btech/found/22010103055_1800266005.html,6.77,6.76
74,/content/btech/found/21010301051_1800265786.html,6.67,6.67
75,/content/btech/found/22010205006_1800265530.html,1.08,1.08
76,/content/btech/found/22011403007_1800265587.html,7.38,7.38
77,/content/btech/found/22010104056_1800265982.html,5.50,5.50
78,/content/btech/found/21011403014_1800265587.html,6.17,6.17
79,/content/btech/found/23011203036_1800266016.html,5.09,5.09
80,/content/btech/found/22010203055_1800265758.html,8.06,7.96
81,/content/btech/found/22010305051_1800265901.html,2.00,1.15
82,/content/btech/found/22011403031_1800266006.html,4.42,4.42
83,/content/btech/found/21011203002_1800266010.html,6.19387755102041,6.04166666666667
84,/content/btech/found/20010603043_1800265284.html,6.46,5.04
85,/content/btech/found/20010505028_1800265550.html,6.30,4.65
86,/content/btech/found/21021005010_1800265551.html,6.48,6.43
87,/content/btech/found/22010104049_1800265815.html,6.50,5.96
88,/content/btech/found/20011203001_1800266010.html,7.43877551020408,7.25
89,/content/btech/found/21021201007_1800265931.html,6.86,6.00
90,/content/btech/found/21010905004_1800265770.html,5.54,5.54
91,/content/btech/found/22021001019_1800265932.html,1.85,0.92
92,/content/btech/found/21010603031_1800266011.html,6.92741935483871,6.53846153846154
93,/content/btech/found/21010104004_1800265337.html,7.54,7.54
94,/content/btech/found/21011303020_1800265759.html,4.36,4.17
95,/content/btech/found/20010101016_1800265267.html,8.02,7.33
96,/content/btech/found/23010301072_1800265991.html,4.52,4.52
97,/content/btech/found/20010304047_1800265986.html,6.59,5.19
98,/content/btech/found/21011203002_1800266007.html,6.88,6.58
99,/content/btech/found/20010203014_1800265591.html,7.00,6.04
100,/content/btech/found/20010401032_1800265789.html,6.83,5.46
101,/content/btech/found/20011101002_1800265932.html,6.4,3.92
102,/content/btech/found/20010501041_1800265934.html,6.72,7.35
103,/content/btech/found/22010505011_1800265901.html,7.32,7.65
104,/content/btech/found/23010106040_1800265980.html,2.04,2.04
105,/content/btech/found/21010305002_1800265902.html,6.61,7.12
106,/content/btech/found/22010203060_1800266006.html,6.13,6.13
107,/content/btech/found/21010505059_1800265900.html,5.13,4.58
108,/content/btech/found/23010204019_1800265989.html,4.43,4.43
109,/content/btech/found/23010503020_1800266016.html,5.96,5.96
110,/content/btech/found/20010203044_1800266010.html,6.8469387755102,5.91666666666667
111,/content/btech/found/20010401012_1800265930.html,6.18,4.15
112,/content/btech/found/23021001022_1800265930.html,6.29,6.29
113,/content/btech/found/21010901010_1800265329.html,2.00,2.00
114,/content/btech/found/21011003020_1800266011.html,7.00819672131148,7.75
115,/content/btech/found/22010203028_1800266007.html,5.35,4.75
116,/content/btech/found/20010603013_1800265243.html,7.61,7.81
117,/content/btech/found/21010304003_1800265986.html,4.65,4.54
118,/content/btech/found/20010301037_1800265814.html,6.54,4.56
119,/content/btech/found/20011203003_1800265284.html,6.39,3.13
120,/content/btech/found/21020107010_1800265922.html,7.15,7.29
121,/content/btech/found/22010501015_1800265812.html,4.40,4.29
122,/content/btech/found/21010501059_1800265468.html,3.12,1.50
123,/content/btech/found/22015103008_1800266019.html,4.69,3.48
124,/content/btech/found/22010101006_1800265928.html,2.33,2.33
125,/content/btech/found/20010501055_1800265500.html,7.29,6.33
126,/content/btech/found/21011303019_1800265773.html,8.66,8.50
127,/content/btech/found/22010505024_1800265900.html,3.81,4.00
128,/content/btech/found/21010501049_1800265932.html,4.66,2.81
129,/content/btech/found/23010204030_1800265989.html,2.30,2.30
130,/content/btech/found/22010505001_1800265771.html,3,2.29
131,/content/btech/found/21010204002_1800265597.html,3.60,3.92
132,/content/btech/found/20010301046_1800265814.html,9.04,8.96
133,/content/btech/found/22010505007_1800265900.html,4.00,4.33
134,/content/btech/found/23021005023_1800265901.html,7.33,7.33
135,/content/btech/found/21010505039_1800265903.html,4.33,5.74
136,/content/btech/found/22020101004_1800265932.html,8.42,8.71
137,/content/btech/found/22011403003_1800265757.html,4.92,4.92
138,/content/btech/found/22020107001_1800265778.html,6.21,7.00
139,/content/btech/found/21010101041_1800265928.html,4.29,4.29
140,/content/btech/found/21011003002_1800266008.html,5.51388888888889,4.20833333333333
141,/content/btech/found/21010401033_1800265930.html,7.55,7.04
142,/content/btech/found/21010903013_1800265362.html,7.13,7.13
143,/content/btech/found/21021003004_1800266008.html,3.95833333333333,3.95833333333333
144,/content/btech/found/22010107014_1800265771.html,3.81,2.88
145,/content/btech/found/21011203006_1800265760.html,8.22,8.46
146,/content/btech/found/21010107010_1800265919.html,6.81,7.56
147,/content/btech/found/21011203026_1800265589.html,6.68,6.58
148,/content/btech/found/22010305055_1800265771.html,2.67,2.75
149,/content/btech/found/21010501058_1800265329.html,6.42,6.42
150,/content/btech/found/22011203012_1800265758.html,2.52,3.46
151,/content/btech/found/22020304002_1800265820.html,5.50,5.50
152,/content/btech/found/22010203059_1800265587.html,8.42,8.42
153,/content/btech/found/22010103012_1800265782.html,2.38,2.38
154,/content/btech/found/20010501004_1800265469.html,4.51,3.46
155,/content/btech/found/23010603039_1800266016.html,8.17,8.17
156,/content/btech/found/22010203060_1800266009.html,5.5,5.34615384615385
157,/content/btech/found/21021501004_1800265788.html,6.81,6.81
158,/content/btech/found/21021005016_1800265550.html,5.25,5.25
159,/content/btech/found/21010501024_1800265813.html,3.92,2.58
160,/content/btech/found/21010203045_1800265238.html,5.92,5.92
161,/content/btech/found/22011203020_1800266006.html,6.21,6.21
162,/content/btech/found/20010107005_1800265540.html,7.45,7.4
163,/content/btech/found/22011201011_1800265928.html,4.96,4.96
164,/content/btech/found/22020305002_1800265903.html,7.13,7.26
165,/content/btech/found/21010401010_1800265930.html,6.41,6.04
166,/content/btech/found/21011403008_1800265299.html,4.38,4.29
